arch_id,generation,val_accuracy,param_count,flops,latency
84b65b427e703312,0,0.297,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.3748,26858,14877312,0.0
ae21375090501c7e,0,0.4868,79082,33030784,0.0
a3dbd21f444385b8,0,0.3728,253066,516686464,0.0
d300328c043ece9e,0,0.373,34554,22446400,0.0
53be88741e9d0039,0,0.401,109322,183763264,0.0
f27dc337145f5e3d,0,0.2984,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3274,106282,57346560,0.0
ae21375090501c7e,1,0.5088,79082,33030784,0.0
ac0b47c0a84bcb76,1,0.3662,26858,14877312,0.0
f27dc337145f5e3d,1,0.307,11162,21333248,0.0
27209cc0c3356b1d,1,0.3098,10394,19760384,0.0
6f730b141cd8ff13,1,0.4936,79082,33030784,0.0
1180e1e8038139c2,1,0.328,48922,21407744,0.0
82f3fce74ec98490,1,0.4852,52554,18154112,0.0
4b707f0844df4fae,1,0.5166,84266,33040896,0.0
4b707f0844df4fae,2,0.4914,84266,33040896,0.0
ac0b47c0a84bcb76,2,0.3626,26858,14877312,0.0
27209cc0c3356b1d,2,0.3052,10394,19760384,0.0
52dfac4b4f63d02e,2,0.3192,19354,19778048,0.0
0600d622c3b22f53,2,0.383,26858,14877312,0.0
5bfd2489f87b2775,2,0.3438,47322,38634752,0.0
9905e5ccdb375bca,2,0.3678,26858,14877312,0.0
2f6edf64ed0941f4,2,0.4864,51498,16263680,0.0
4b707f0844df4fae,3,0.4898,84266,33040896,0.0
0600d622c3b22f53,3,0.3906,26858,14877312,0.0
27209cc0c3356b1d,3,0.3106,10394,19760384,0.0
2bc3ccb0341c1e5c,3,0.3602,26858,14877312,0.0
3bd416f96e713f44,3,0.3222,26778,53314816,0.0
06dc31913a8aeaf5,3,0.2918,10394,19760384,0.0
729d7147bd5aca89,3,0.4818,87338,39332352,0.0
f54ac92e49208724,3,0.4558,84202,33040896,0.0
4b707f0844df4fae,4,0.4778,84266,33040896,0.0
0600d622c3b22f53,4,0.3724,26858,14877312,0.0
3bd416f96e713f44,4,0.3128,26778,53314816,0.0
8617daa5fe9469f8,4,0.3486,26858,14877312,0.0
9b785ec8608ada01,4,0.3846,26858,14877312,0.0
1dd90c246d0739c3,4,0.4782,84266,33040896,0.0
6097dd61525879f0,4,0.3306,27546,54887680,0.0
21e26156ad5e7363,4,0.3432,26858,54198912,0.0
1dd90c246d0739c3,5,0.4434,84266,33040896,0.0
9b785ec8608ada01,5,0.37,26858,14877312,0.0
3bd416f96e713f44,5,0.3256,26778,53314816,0.0
c792c6cfe923a8a7,5,0.3508,13610,7438976,0.0
015f24a5af604598,5,0.4778,52490,18154112,0.0
0449a6a574d13782,5,0.5,84298,33040896,0.0
fc11dd4c8d1336a0,5,0.2926,26778,53314816,0.0
9b785ec8608ada01,5,0.38,26858,14877312,0.0
84b65b427e703312,0,0.297,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.3748,26858,14877312,0.0
ae21375090501c7e,0,0.4868,79082,33030784,0.0
a3dbd21f444385b8,0,0.3728,253066,516686464,0.0
d300328c043ece9e,0,0.373,34554,22446400,0.0
53be88741e9d0039,0,0.401,109322,183763264,0.0
f27dc337145f5e3d,0,0.2984,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3274,106282,57346560,0.0
ae21375090501c7e,1,0.5088,79082,33030784,0.0
ac0b47c0a84bcb76,1,0.3662,26858,14877312,0.0
f27dc337145f5e3d,1,0.307,11162,21333248,0.0
27209cc0c3356b1d,1,0.3098,10394,19760384,0.0
6f730b141cd8ff13,1,0.4936,79082,33030784,0.0
1180e1e8038139c2,1,0.328,48922,21407744,0.0
82f3fce74ec98490,1,0.4852,52554,18154112,0.0
4b707f0844df4fae,1,0.5166,84266,33040896,0.0
4b707f0844df4fae,2,0.4914,84266,33040896,0.0
ac0b47c0a84bcb76,2,0.3626,26858,14877312,0.0
27209cc0c3356b1d,2,0.3052,10394,19760384,0.0
52dfac4b4f63d02e,2,0.3192,19354,19778048,0.0
0600d622c3b22f53,2,0.383,26858,14877312,0.0
5bfd2489f87b2775,2,0.3438,47322,38634752,0.0
9905e5ccdb375bca,2,0.3678,26858,14877312,0.0
2f6edf64ed0941f4,2,0.4864,51498,16263680,0.0
4b707f0844df4fae,3,0.4898,84266,33040896,0.0
0600d622c3b22f53,3,0.3906,26858,14877312,0.0
27209cc0c3356b1d,3,0.3106,10394,19760384,0.0
2bc3ccb0341c1e5c,3,0.3602,26858,14877312,0.0
3bd416f96e713f44,3,0.3222,26778,53314816,0.0
06dc31913a8aeaf5,3,0.2918,10394,19760384,0.0
729d7147bd5aca89,3,0.4818,87338,39332352,0.0
f54ac92e49208724,3,0.4558,84202,33040896,0.0
4b707f0844df4fae,4,0.4778,84266,33040896,0.0
0600d622c3b22f53,4,0.3724,26858,14877312,0.0
3bd416f96e713f44,4,0.3128,26778,53314816,0.0
8617daa5fe9469f8,4,0.3486,26858,14877312,0.0
9b785ec8608ada01,4,0.3846,26858,14877312,0.0
1dd90c246d0739c3,4,0.4782,84266,33040896,0.0
6097dd61525879f0,4,0.3306,27546,54887680,0.0
21e26156ad5e7363,4,0.3432,26858,54198912,0.0
1dd90c246d0739c3,5,0.4434,84266,33040896,0.0
9b785ec8608ada01,5,0.37,26858,14877312,0.0
3bd416f96e713f44,5,0.3256,26778,53314816,0.0
c792c6cfe923a8a7,5,0.3508,13610,7438976,0.0
015f24a5af604598,5,0.4778,52490,18154112,0.0
0449a6a574d13782,5,0.5,84298,33040896,0.0
fc11dd4c8d1336a0,5,0.2926,26778,53314816,0.0
9b785ec8608ada01,5,0.38,26858,14877312,0.0
84b65b427e703312,0,0.2974,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.3804,26858,14877312,0.0
ae21375090501c7e,0,0.475,79082,33030784,0.0
a3dbd21f444385b8,0,0.3504,253066,516686464,0.0
d300328c043ece9e,0,0.3478,34554,22446400,0.0
53be88741e9d0039,0,0.3978,109322,183763264,0.0
f27dc337145f5e3d,0,0.307,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3216,106282,57346560,0.0
ae21375090501c7e,1,0.4884,79082,33030784,0.0
ac0b47c0a84bcb76,1,0.3774,26858,14877312,0.0
f27dc337145f5e3d,1,0.3016,11162,21333248,0.0
27209cc0c3356b1d,1,0.3124,10394,19760384,0.0
6f730b141cd8ff13,1,0.4506,79082,33030784,0.0
1180e1e8038139c2,1,0.3436,48922,21407744,0.0
82f3fce74ec98490,1,0.4826,52554,18154112,0.0
4b707f0844df4fae,1,0.474,84266,33040896,0.0
ae21375090501c7e,2,0.512,79082,33030784,0.0
ac0b47c0a84bcb76,2,0.375,26858,14877312,0.0
27209cc0c3356b1d,2,0.3046,10394,19760384,0.0
52dfac4b4f63d02e,2,0.3114,19354,19778048,0.0
0600d622c3b22f53,2,0.3564,26858,14877312,0.0
5bfd2489f87b2775,2,0.349,47322,38634752,0.0
9905e5ccdb375bca,2,0.3792,26858,14877312,0.0
6d47b0a2a64b985e,2,0.4796,46314,16253568,0.0
ae21375090501c7e,3,0.4908,79082,33030784,0.0
9905e5ccdb375bca,3,0.3972,26858,14877312,0.0
27209cc0c3356b1d,3,0.2938,10394,19760384,0.0
